School Name	Address	lat	long	rank
Darien High School	80 HIGH SCHOOL LN DARIEN CT 06820 	41.0846085	-73.4914511	217
Conard High School	110 BEECHWOOD RD WEST HARTFORD CT 06107 	41.7343793	-72.7518734	218
Diamond Bar High School	21400 PATHFINDER RD DIAMOND BAR CA 91765 	33.983957	-117.8388979	219
Manhattan Bridges High School	525 WEST 50TH ST NEW YORK NY 10019 	40.7653384	-73.9931088	220
Olentangy High School	675 LEWIS CENTER RD LEWIS CENTER OH 43035 	40.2000125	-83.0188412	221
Rye Neck Senior High School	300 HORNIDGE RD MAMARONECK NY 10543 	40.9569876	-73.715642	222
The High School for the Performing and Visual Arts	4001 STANFORD HOUSTON TX 77006 	29.7370384	-95.3888844	223
Newton South High School	140 BRANDEIS RD NEWTON CENTRE MA 02459 	42.3145826	-71.187721	224
Millburn High School	462 MILLBURN AVE MILLBURN NJ 07041 	40.719876	-74.31419	225
Mahtomedi Senior High School	8000 75TH ST NORTH MAHTOMEDI MN 55115 	45.058699	-92.943534	226
Brentwood High School	5304 MURRAY LA BRENTWOOD TN 37027 	36.0152959	-86.8157017	227
Osceola County School for the Arts	3151 NORTH ORANGE BLOSSOM TRAI KISSIMMEE FL 34744 	28.3417852	-81.4022758	228
West Windsor-​Plainsboro High School North	90 GROVERS MILL RD PLAINSBORO NJ 08536 	40.3233152	-74.6003096	229
Pompano Beach High School	600 NE 13TH AVE POMPANO BEACH FL 33060 	26.23665	-80.108442	230
Harmony School of Advancement -​ High	3171 NORTH SAM HOUSTON PARKWAY HOUSTON TX 77038 	29.936516	-95.468174	231
Denver Center for International Studies	574 WEST 6TH AVE DENVER CO 80204 	39.724911	-104.994002	232
Memorial High School	935 ECHO LN HOUSTON TX 77024 	29.7799109	-95.526123	233
Highland Park High School	433 VINE AVE HIGHLAND PARK IL 60035 	42.192308	-87.801241	234
Hudson High School	2500 HUDSON AURORA RD HUDSON OH 44236 	41.255775	-81.413589	235
North Salem Middle School/​High School	230 JUNE RD NORTH SALEM NY 10560 	41.354813	-73.596798	236
Cerritos High School 	12500 EAST 183RD ST . CERRITOS CA 90703 	33.863792	-118.064532	237
Paul D. Schreiber Senior High School	101 CAMPUS DR PORT WASHINGTON NY 11050 	40.8293328	-73.6817937	238
Rosie M. Collins Sorrells School of Education and Social Services 	1201 EAST EIGHTH ST DALLAS TX 75203 	32.7522292	-96.8066934	239
Weston High School	115 SCHOOL RD WESTON CT 06883 	41.210688	-73.379472	240
Oakwood High School	1200 FAR HILLS AVE DAYTON OH 45419 	39.7209346	-84.1726732	241
George Washington Carver Center for Arts and Technology	938 YORK RD TOWSON MD 21204 	39.4091322	-76.6099986	242
Gertz-​Ressler High School	2023 SOUTH UNION AVE LOS ANGELES CA 90007 	34.036596	-118.283108	243
John Jay High School	60 NORTH SALEM RD CROSS RIVER NY 10518 	41.2754412	-73.6102492	244
Edina High School 	6754 VALLEY VIEW RD EDINA MN 55435 	44.8830123	-93.3766854	245
Colleyville Heritage High School	5401 HERITAGE AVE COLLEYVILLE TX 76034 	32.888088	-97.103161	246
Montgomery Blair High School	51 UNIVERSITY BLVD EAST SILVER SPRING MD 20901 	39.0181834	-77.0117569	247
Harmony Science	5651 WEST CREEK DR FORT WORTH TX 76133 	32.662413	-97.360668	248
Rumson-​Fair Haven Regional High School	74 RIDGE RD RUMSON NJ 07760 	40.3691886	-74.0014284	249
Ridgefield High School	700 NORTH SALEM RD RIDGEFIELD CT 06877 	41.3250963	-73.5277594	250
Byram Hills High School	12 TRIPP LN ARMONK NY 10504 	41.1329073	-73.6872521	251
Summit High School	125 KENT PLACE BLVD SUMMIT NJ 07901 	40.720822	-74.370617	252
North Star Academy Cs Of Newark	10 WASHINGTON PLACE NEWARK NJ 07102 	40.7424455	-74.1700057	253
Harmony Science Academy	5435 SOUTH BRAESWOOD HOUSTON TX 77096 	29.675793	-95.479182	254
City Middle/​High School	1400 FULLER AVE NE GRAND RAPIDS MI 49505 	42.9900048	-85.6381702	255
Broadneck High School	1265 GREEN HOLLY DR ANNAPOLIS MD 21409 	39.038957	-76.451933	256
Aviation High School	6770 EAST MARGINAL WAY SOUTH SEATTLE WA 98108 	47.5430205	-122.3265413	257
Farmington High School	10 MONTEITH DR FARMINGTON CT 06032 	41.749893	-72.8675692	258
Medfield High School	88R SOUTH ST MEDFIELD MA 02052 	42.184987	-71.297788	259
Croton-​Harmon High School	36 OLD POST RD SOUTH CROTON ON HUDSON NY 10520 	41.2074837	-73.8814345	260
High School for Math Science and Engineering at CCNY	240 CONVENT AVE NEW YORK NY 10031 	40.8174284	-73.9523094	261
Fiorello H. LaGuardia High School of Music & Art and Performing Arts	100 AMSTERDAM AVE NEW YORK NY 10023 	40.774139	-73.985356	262
